etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker,name_normalized_old
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Natura & Co. Holding SA,"13,600","1,22,891",,,natura and holding,NATU3.BA,NATURA & CO. HOLDING SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Notre Dame Intermedica Participacoes SA,"6,800","87,204",,,notre dame intermedica participacoes,NOTRE,NOTRE DAME INTERMEDICA PARTICIPACOES SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Suzano SA,"6,800","54,862",,,suzano,SPXB.DU,SUZANO SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Ultrapar Participacoes SA,"27,202","98,968",,,ultrapar participacoes,UGP.BA,ULTRAPAR PARTICIPACOES SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Vale SA,"47,601","5,55,123",,,vale,CVLB.MU,VALE SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,WEG SA,"6,800","87,975","21,81,590",,weg,WEGZY,WEG SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Agnico Eagle Mines Ltd.,"3,468","2,75,395",,,agnico eagle mines,AEM,AGNICO EAGLE MINES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Algonquin Power & Utilities Corp.,"3,536","48,783",,,algonquin power and utilities,AQN,ALGONQUIN POWER & UTILITIES CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Alimentation Couche-Tard Inc., Class B","11,016","3,82,825",,,alimentation couche tard,ATD,"ALIMENTATION COUCHE-TARD INC., CLASS B"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,B2Gold Corp.,"16,796","1,16,362",,,b2gold,BTG,B2GOLD CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Bank of Montreal,"5,508","3,01,326",,,bank of montreal,BMO,BANK OF MONTREAL
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Bank of Nova Scotia (The),"12,716","5,22,215",,,bank of nova scotia the,BKN.F,BANK OF NOVA SCOTIA (THE)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Barrick Gold Corp.,"15,028","4,34,292",,,barrick gold,B-C.BA,BARRICK GOLD CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Bausch Health Companies Inc.,"3,128","57,189",,,bausch health companies,BHC,BAUSCH HEALTH COMPANIES INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,BCE Inc.,"4,216","1,76,760",,,bce,BCE,BCE INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,BlackBerry Ltd.,"14,212","67,373",,,blackberry,BB.NE,BLACKBERRY LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Brookfield Asset Management Inc., Class A","12,961","4,18,584",,,brookfield asset management,BAM,"BROOKFIELD ASSET MANAGEMENT INC., CLASS A"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,CAE Inc.,"2,788","41,607",,,cae,CAE,CAE INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Cameco Corp.,"16,048","1,63,176",,,cameco,CCO,CAMECO CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canadian Imperial Bank of Commerce,"4,556","3,15,400",,,canadian imperial bank of commerce,CM,CANADIAN IMPERIAL BANK OF COMMERCE
