etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Bank of Beijing Co. Ltd., Class A","1,73,997","1,42,149",,,"BANK OF BEIJING CO. LTD., CLASS A",601169.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Bank of China Ltd., Class A","62,400","33,593",,,"BANK OF CHINA LTD., CLASS A",W8V0.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Bank of China Ltd., Class H","10,92,000","4,46,403",,,"BANK OF CHINA LTD., CLASS H",W8V0.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Bank of Communications Co. Ltd., Class A","54,600","46,032",,,"BANK OF COMMUNICATIONS CO. LTD., CLASS A",C4C.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Bank of Communications Co. Ltd., Class H","2,34,000","1,71,287",,,"BANK OF COMMUNICATIONS CO. LTD., CLASS H",C4C.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Bank of Jiangsu Co. Ltd., Class A","31,295","31,607",,,"BANK OF JIANGSU CO. LTD., CLASS A",600919.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Bank of Nanjing Co. Ltd., Class A","31,200","37,532",,,"BANK OF NANJING CO. LTD., CLASS A",601009.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"CGN Power Co. Ltd., Class H","10,14,000","2,94,048",,,"CGN POWER CO. LTD., CLASS H",94C.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Cinda Asset Management Co. Ltd., Class H","3,12,000","68,555",,,"CHINA CINDA ASSET MANAGEMENT CO. LTD., CLASS H",0CI.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China CITIC Bank Corp. Ltd., Class H","1,56,000","86,889",,,"CHINA CITIC BANK CORP. LTD., CLASS H",CHCJY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,China Conch Venture Holdings Ltd.,"39,000","1,34,768",,,CHINA CONCH VENTURE HOLDINGS LTD.,CHINA2
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Construction Bank Corp., Class H","11,76,000","9,11,907",,,"CHINA CONSTRUCTION BANK CORP., CLASS H",CICHF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Everbright Bank Co. Ltd., Class A","2,18,400","1,24,548",,,"CHINA EVERBRIGHT BANK CO. LTD., CLASS A",C0V.BE
