scenario,ETF_Ticker,TE_annual,TE_to_Budget,TE_coverage_wt,%Clean,%Controversial,%Other,#names,ActiveShare_%,%ActiveNames,MaxDeltaName,MaxDelta_%,ETF_AUM_USD,sector_dev__Cash and/or Derivatives,sector_dev__Communication,sector_dev__Consumer Discretionary,sector_dev__Consumer Staples,sector_dev__Energy,sector_dev__Financials,sector_dev__Health Care,sector_dev__Industrials,sector_dev__Information Technology,sector_dev__Materials,sector_dev__Real Estate,sector_dev__Utilities,region_dev__Other,region_dev__US,region_dev__Americas,region_dev__APAC,region_dev__Europe
Pragmatic Tilt,PABU,0.019999961754105913,0.9999980877052956,0.728,25.38712677387683,4.251555672292703,70.36131755383046,182,22.508552240974556,85.32608695652173,MSFT,-6.776809221680683,2195998668.13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Pragmatic Tilt,ICLN,0.019999792031370086,0.9999896015685042,0.7140000000000002,25.024270331950838,4.671487011460161,70.30424265658901,117,17.351804870918862,86.02941176470588,SSE,-4.0290755841488,1515495457.31,0.07150023889976684,,,,-0.025242871396017382,,,0.11330450539753234,-0.827271230687554,-0.20666158079285876,,0.8743709385791276,0.0,0.0,0.0,0.0,0.0
Strict Exclusion,SUSA,0.018316074893801465,,0.5882000000000001,20.87532363149216,0.0,79.12467636850783,166,26.730636991115464,99.50248756218906,MSFT,-6.38,3715892967.15,0.001523772784260734,0.0518844633040777,0.05912238402931841,0.051960651943290526,0.02468511910502444,0.09820715594560381,0.07588388465618462,0.09942617417301458,0.28098370141768636,0.0242279872697454,0.02209470537178071,-0.79,0.0,0.0,,,
Strict Exclusion,XJH,0.0023324873684603007,,0.1699,1.5834224016318221,0.0,98.41657759836818,348,8.309999999999993,99.21671018276763,DTM,0.7146669099943043,298461803.67,0.00047064727802968373,0.0024055305321518325,0.02503146263891365,0.008593670669209547,0.002667001242168468,0.03397376092147686,-0.054486071205686604,-0.06723725999734087,0.022085559306059266,0.01017992630997569,0.01361390830152548,0.0027018640035039038,0.0,-0.0013945104534229813,0.00139451045342142,,
Strict Exclusion,ESML,0.0037011838566775378,,0.10450000000000001,0.8702120238628492,0.0,99.12978797613715,833,13.179999999999994,99.67637540453075,DTM,0.852268632067759,1918530890.25,0.0006671244972038942,0.004986755616599378,0.022982438928675908,0.006854704208770351,0.006838026096340349,0.028769743941917114,-0.031670754439322435,0.03579122927498957,0.02371627587559877,-0.04312861767879969,-0.0605435102521347,0.004736583930147961,0.0,0.0,,,
Strict Exclusion,CRBN,0.011887495706297104,,0.4920999999999999,16.799292471358317,0.0,83.20070752864169,880,26.88987024734184,92.84386617100371,MSFT,-4.47,1071014287.19,0.015411853685664244,-0.07995960175604389,0.06255011934618165,-0.11872640969391585,0.023408098926310655,-1.001823824106904,0.20437401228463603,-0.2568788891811308,1.5532932102160224,-0.1335284151377899,-0.03992344436777005,-0.22819671021525878,-0.0015225380805734823,0.01580702456684957,-0.0016893329826593584,-0.005688133840348053,-0.006907019663277003
Strict Exclusion,USCL,0.02111570796082322,,0.6473,14.495701830796259,0.0,85.50429816920374,226,37.69999999999999,91.1864406779661,MSFT,-6.67,2544447290.37,0.0,-2.7755575615628914e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Strict Exclusion,SDG,0.009448820181571536,,0.5922,25.838350406827892,0.0,74.16164959317211,127,12.257151888284303,87.9746835443038,KMB,-3.32,174119300.99,0.04989018421438056,,0.041621971201274977,-2.570040842714119,,,1.1602171229588816,-0.16639625897043597,1.4201107314189194,-0.580659402623026,0.7550057286339618,-0.1097492341198325,0.013074665850606668,0.1771074823955443,0.03528446941342689,-0.34359536720064976,0.11812874954107155
Strict Exclusion,ESGE,0.010474093988690932,,0.32700000000000007,10.174457382815234,0.0,89.82554261718477,306,11.657122468230748,94.87179487179488,2330,-4.111731122220158,5279409805.95,0.4216110145318541,0.14044979498644278,0.3346043473441057,-0.3134365662370082,-0.4482682425381121,0.009995386644023885,0.08768334337477465,-0.25750254601756495,0.406340376219666,-0.08356627142696582,-0.013665520677440951,-0.2842451162037605,-0.11545977011493957,0.4184712643678161,-0.024017241379310078,-0.2789540229884979,-4.022988505747129e-05
Strict Exclusion,EMXF,0.0015950753387943579,,0.2314,6.786883098152292,0.0,93.2131169018477,533,4.172739896330623,95.84055459272098,HINDUNILVR,-0.55,114181173.34,0.35811477255668567,-0.027241919444728757,-0.01093720380692248,-0.05149825966560481,,-0.18549344477061802,-0.007858085459785252,-0.038212376893919514,-0.0169041942842868,-0.01501841155104218,-0.0015654003784417586,-0.0033854763013239225,0.3887853161721244,0.31985769087468713,-0.00513668176129467,-0.7035063252855078,0.0
