etf_ticker,etf_name,date,sector,security,shares,value,total_value,total+overall_value
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Philippines — 0.5%,SM Prime Holdings Inc.,"19,69,800","14,36,789","17,26,771",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Poland — 1.0%,Bank Handlowy w Warszawie SA,"16,546","3,05,704",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Poland — 1.0%,Bank Zachodni WBK SA,"5,586","5,70,674",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Poland — 1.0%,KGHM Polska Miedz SA,"35,280","8,70,389",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Poland — 1.0%,mBank SA,"4,410","4,90,792",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Poland — 1.0%,Polski Koncern Naftowy ORLEN SA,"45,178","12,05,909","34,43,468",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Qatar — 0.7%,Commercial Bank PQSC (The),"37,926","4,08,570",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Qatar — 0.7%,Ooredoo QPSC,"41,365","8,27,900",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Qatar — 0.7%,Qatar National Bank QPSC,"24,304","11,82,854","24,19,324",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Russia — 3.1%,Alrosa PJSC,"2,64,600","3,98,312",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Russia — 3.1%,Gazprom PJSC,"1,09,760","2,44,359",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Russia — 3.1%,"Gazprom PJSC, ADR, NVS","64,072","2,82,558",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Russia — 3.1%,Inter RAO UES PJSC,"1,23,48,000","7,40,655",,
