etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Notre Dame Intermedica Participacoes SA,"6,800","87,204",,,NOTRE DAME INTERMEDICA PARTICIPACOES,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Suzano SA,"6,800","54,862",,,SUZANO,SPXB.DU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Ultrapar Participacoes SA,"27,202","98,968",,,ULTRAPAR PARTICIPACOES,UGR.BE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Vale SA,"47,601","5,55,123",,,VALE,CVLB.MU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,WEG SA,"6,800","87,975","21,81,590",,WEG,WEGZY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Agnico Eagle Mines Ltd.,"3,468","2,75,395",,,AGNICO EAGLE MINES,AE9.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Algonquin Power & Utilities Corp.,"3,536","48,783",,,ALGONQUIN POWER UTILITIES,AQN
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Alimentation Couche-Tard Inc., Class B","11,016","3,82,825",,,ALIMENTATION COUCHE TARD,ATD.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,B2Gold Corp.,"16,796","1,16,362",,,B2GOLD,BTG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Bank of Montreal,"5,508","3,01,326",,,BANK OF MONTREAL,BMO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Bank of Nova Scotia (The),"12,716","5,22,215",,,BANK OF NOVA SCOTIA THE,BKN.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Barrick Gold Corp.,"15,028","4,34,292",,,BARRICK GOLD,B-C.BA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Bausch Health Companies Inc.,"3,128","57,189",,,BAUSCH HEALTH COMPANIES,BHC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,BCE Inc.,"4,216","1,76,760",,,BCE,BCE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,BlackBerry Ltd.,"14,212","67,373",,,BLACKBERRY,BB.NE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Brookfield Asset Management Inc., Class A","12,961","4,18,584",,,BROOKFIELD ASSET MANAGEMENT,BAM
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,CAE Inc.,"2,788","41,607",,,CAE,CAE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Cameco Corp.,"16,048","1,63,176",,,CAMECO,CCJ
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canadian Imperial Bank of Commerce,"4,556","3,15,400",,,CANADIAN IMPERIAL BANK OF COMMERCE,CM
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canadian National Railway Co.,"5,984","5,84,507",,,CANADIAN NATIONAL RAILWAY,CNI
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canadian Pacific Railway Ltd.,884,"2,43,105",,,CANADIAN PACIFIC RAILWAY,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Canadian Tire Corp. Ltd., Class A, NVS","1,088","1,00,304",,,CANADIAN TIRE NVS,YAAA.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canopy Growth Corp. (a)(b),"3,332","60,844",,,CANOPY GROWTH A B,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"CCL Industries Inc., Class B, NVS","4,012","1,33,464",,,CCL INDUSTRIES NVS,1C9.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,CGI Inc.,"1,836","1,31,131",,,CGI,GIB
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Constellation Software Inc.,272,"3,21,723",,,CONSTELLATION SOFTWARE,CSU.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Cronos Group Inc. (a)(b),68,446,,,CRONOS A B,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Dollarama Inc.,"3,400","1,24,324",,,DOLLARAMA,DOL.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Enbridge Inc.,"20,545","6,57,532",,,ENBRIDGE,ENB
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Fairfax Financial Holdings Ltd.,408,"1,27,831",,,FAIRFAX FINANCIAL,FFH.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,First Quantum Minerals Ltd.,"23,392","1,97,684",,,FIRST QUANTUM MINERALS,FM.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Franco-Nevada Corp.,"2,788","4,45,622",,,FRANCO NEVADA,FNV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,George Weston Ltd.,"2,992","2,25,980",,,GEORGE WESTON,WN.NE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Hydro One Ltd.,"14,960","3,18,745",,,HYDRO ONE,8H1.SG
