year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,abbott laboratories,ABT,Other,Other,0.0003283410795393065,2,5
2017,2025,legal and general,LGEN,Other,Other,0.00032527800233261823,2,3
2017,2025,commerzbank,CBK,Controversial,Controversial,0.0003208881515782924,1,5
2017,2025,chipotle mexican grill,CMG,Controversial,Controversial,0.0003130423288671202,1,6
2017,2025,aviva,AV.,Other,Other,0.0003110388212089157,2,4
2017,2025,stmicroelectronics,STMPA,Other,Other,0.0003094297288385298,1,4
2017,2025,dcc,DCC,Controversial,Controversial,0.0003022509436513994,2,1
2017,2025,genuine parts,GPC,Other,Other,0.0003003268272013632,1,5
2017,2025,molson coors brewing,TAP,Other,Other,0.00029891577128276917,1,3
2017,2025,bank hapoalim bm,POLI,Other,Other,0.000295093537771625,1,4
2017,2025,hana financial,86790,Other,Other,0.0002949289087375561,2,3
2017,2025,galp energia sgps,GALP,Controversial,Controversial,0.000282187511835148,1,2
2017,2025,pultegroup,PHM,Other,Other,0.00027754370223411753,1,4
2017,2025,ch robinson worldwide,CHRW,Other,Other,0.0002766790403519532,2,7
2017,2025,naver,35420,Other,Other,0.0002765291262930677,2,2
2017,2025,auto trader,AUTO,Other,Other,0.00026862123974829395,1,5
2017,2025,oversea chinese banking,O39,Other,Controversial,0.00026487451579987754,1,2
2017,2025,ashtead,AHT,Other,Other,0.00026300271894744967,2,4
2017,2025,united overseas bank,U11,Controversial,Controversial,0.00026008200825544236,1,3
2017,2025,aristocrat leisure,ALL,Other,Other,0.0002564622549933196,1,4
2017,2025,conagra brands,CAG,Controversial,Controversial,0.0002557349999574948,1,5
2017,2025,leidos,LDOS,Controversial,Controversial,0.000250591880177665,1,3
2017,2025,aon,AON,Other,Other,0.0002487198982146038,1,5
2017,2025,standard chartered,STAN,Controversial,Controversial,0.00024723794044462905,1,2
2017,2025,lululemon athletica,LULU,Other,Other,0.0002471308918083461,1,8
2017,2025,dollar tree,DLTR,Controversial,Controversial,0.0002448605161244025,1,3
2017,2025,tokyu,9005,Other,Other,0.00024307429051905198,1,2
2017,2025,lloyds banking,LLOY,Other,Other,0.00024102511403976197,2,4
2017,2025,mitsubishi chemical,4188,Other,Other,0.0002384767777985456,1,2
2017,2025,nedbank,NED,Other,Other,0.00023546191128416576,2,2
2017,2025,fosun international,656,Other,Other,0.00023482235489924414,1,1
2017,2025,amadeus it,AMS,Other,Other,0.00023338594997831917,2,5
2017,2025,aeon,8267,Controversial,Controversial,0.0002314538384471576,1,3
2017,2025,eva airways,2618,Other,Other,0.0002298386462326545,1,2
2017,2025,elbit systems,ESLT,Other,Controversial,0.00022539453595270975,1,2
2017,2025,yum china,YUMC,Other,Other,0.00022532793097073303,1,2
