ETF ticker,year,pct_controversial,pct_other,pct_clean,market_total_value_usd,Clean,Controversial,Other
ICLN,2019,5.509992237034347,91.40323842636475,8.452653234902542,360049255.0,30433715.0,19838686.0,329096679.0
ICLN,2020,3.230986068677023,103.41648465032937,9.737590037650849,1541917450.0,150145600.0,49819138.0,1594596823.0
ICLN,2021,6.4537825184562045,84.35663880622862,16.308093817810615,5855954348.0,954994529.0,377930558.0,4939886258.0
ICLN,2022,5.677307968358773,96.1430733972228,11.729516667776274,4983595510.0,584551666.0,282934065.0,4791381889.0
ICLN,2023,5.610884171917663,96.94087873352407,12.49184859469604,4573104098.0,571265240.0,256591574.0,4433207298.0
ICLN,2024,8.49338840674426,84.02789147962481,14.681612730027275,2165452705.0,317923380.0,183920309.0,1819584249.0
ICLN,2025,18.043352303828556,56.9033204674671,24.979655260257427,1457155418.31,363992400.1,262919685.74,829169817.39
LCTD,2021,13.990810315482083,78.76156105303805,7.055886882541517,605599462.0,42730413.0,84728272.0,476979590.0
LCTD,2022,18.293558508624713,73.238815164651,8.36318513848141,442314960.0,36991619.0,80915146.0,323946236.0
LCTD,2023,20.413489161576827,70.19048918936454,8.994059333084536,576261731.0,51829322.0,117635126.0,404480928.0
LCTD,2024,22.712574180852048,68.0634458442293,9.363939167378273,344953405.0,32301227.0,78347798.0,234787174.0
LCTD,2025,21.580046875818155,71.10613501085004,9.112935025942985,234070256.94,21330670.43,50512471.17,166438312.92
LCTU,2021,16.374916278579267,74.1936250671471,9.36065664056594,1423888880.0,133285349.0,233160612.0,1056434777.0
LCTU,2022,28.259316668186788,56.67068707439555,15.553605648578998,1409350423.0,219204807.0,398272799.0,798688568.0
LCTU,2023,28.816556933301992,56.09680139240193,15.52026413949125,1683978711.0,261357944.0,485264684.0,944658193.0
LCTU,2024,29.21342895975135,57.564700581785466,13.49809232348664,1356576171.0,183111904.0,396302416.0,780909011.0
LCTU,2025,32.17395671631531,50.758880273126614,17.046761544106477,1305135788.31,222483385.66,419913823.62,662472312.19
PABD,2024,11.482450287364658,77.69806887081646,9.737713267125033,6204660.0,604192.0,712447.0,4820901.0
PABD,2025,10.971976404348315,83.38569507859958,7.598897693024823,208173774.79,15818912.17,22840777.45,173587149.08
PABU,2022,15.973807117907205,68.38613331595114,15.95710344979334,756881657.0,120776389.0,120902816.0,517602099.0
PABU,2023,17.598990571605725,66.47277179809493,17.13347500920148,1489773825.0,255250026.0,262185155.0,990293955.0
PABU,2024,19.112721630558152,64.88024752146022,16.361522177918005,1776067415.0,290591664.0,339454821.0,1152316935.0
PABU,2025,22.90498955073831,59.74956908162721,17.34615178400609,2177420259.22,377698623.14,498737882.84999996,1300999221.98
SDG,2017,7.964331824554363,88.99092860900768,4.443281939792141,25164057.0,1118110.0,2004149.0,22393728.0
SDG,2018,7.923242654111381,84.3560802532958,8.496717016806983,37928461.0,3222674.0,3005164.0,31994963.0
SDG,2019,8.819290329441396,87.89105442138133,8.364483774005615,54174461.0,4531414.0,4777803.0,47614505.0
SDG,2020,10.155029746272985,81.12149057234782,8.806528544864234,175603848.0,15464603.0,17832623.0,142452459.0
