year,ETF_Ticker,screen_category,exposure_pct,aum_usd
2025,PABU,Fossil Fuel,0.7730829511997858,2177420259.22
2022,SDG,Fossil Fuel,0.03168661929191197,415790649.0
2023,SDG,Fossil Fuel,0.03201757364132159,374082063.0
2024,SDG,Fossil Fuel,0.04042008947977801,301162124.0
2025,SDG,Fossil Fuel,0.04300428781224548,167008602.29
2017,SUSA,Fossil Fuel,1.3094015868701485,528508524.0
2018,SUSA,Fossil Fuel,0.8262192057725192,681606886.0
2019,SUSA,Fossil Fuel,2.0179149882237906,1075898000.0
2020,SUSA,Fossil Fuel,1.7547443246874186,1289055430.0
2021,SUSA,Fossil Fuel,1.367756224327337,3057930957.0
2022,SUSA,Fossil Fuel,2.8193962624508813,3662646233.0
2023,SUSA,Fossil Fuel,3.3068277538641917,3260027828.0
2024,SUSA,Fossil Fuel,3.2848205886855215,3333157871.0
2025,SUSA,Fossil Fuel,4.080072736181348,3555990177.17
2019,SUSL,Fossil Fuel,2.7988938518114295,1579065100.0
2020,SUSL,Fossil Fuel,1.801089776644156,2564227647.0
2021,SUSL,Fossil Fuel,1.773786338222455,4077962404.0
2022,SUSL,Fossil Fuel,2.7689121740183666,3116650243.0
2023,SUSL,Fossil Fuel,3.057676085273347,1139306520.0
2024,SUSL,Fossil Fuel,2.8414684394322003,1123280187.0
2025,SUSL,Fossil Fuel,2.397775877750739,969050560.38
2023,USCL,Fossil Fuel,3.956839311178912,2299045699.0
2024,USCL,Fossil Fuel,4.573463097923303,1949740013.0
2025,USCL,Fossil Fuel,5.0066883825089,2487467893.45
2025,USXF,Fossil Fuel,0.8338467121434885,1263627631.62
2020,XJH,Fossil Fuel,1.2419439587714878,5125191.0
2021,XJH,Fossil Fuel,1.059203325989803,39689358.0
2022,XJH,Fossil Fuel,2.089279775325909,84725034.0
2023,XJH,Fossil Fuel,2.2427230943355134,111598396.0
2024,XJH,Fossil Fuel,1.9821279267444207,182811359.0
2025,XJH,Fossil Fuel,1.8380246397504436,290594113.62
2020,XVV,Fossil Fuel,3.6170654886844127,5139636.0
2021,XVV,Fossil Fuel,1.9976812197892102,146941913.0
2022,XVV,Fossil Fuel,4.438887661685583,201075983.0
2023,XVV,Fossil Fuel,4.62281710951516,155683944.0
2024,XVV,Fossil Fuel,4.552853446517487,253613830.0
2025,XVV,Fossil Fuel,4.284516859731843,430814329.23
2017,CRBN,Prisons,1.5652981316425811,434815251.0
2018,CRBN,Prisons,4.3212938849270675,534024244.0
2019,CRBN,Prisons,4.92066235595919,468999117.0
2020,CRBN,Prisons,5.903623102456213,432095233.0
2021,CRBN,Prisons,3.676265991977189,861219103.0
2022,CRBN,Prisons,7.271107332706799,907313054.0
2023,CRBN,Prisons,7.6420399203315155,897207980.0
2024,CRBN,Prisons,8.348290083233936,865372385.0
2025,CRBN,Prisons,7.90184553398996,1027534118.21
2020,DMXF,Prisons,1.4072815482642362,11157682.0
2021,DMXF,Prisons,1.1931452089270764,245845684.0
2022,DMXF,Prisons,1.5102341189603896,354432464.0
2023,DMXF,Prisons,1.6216692470424987,475875769.0
2024,DMXF,Prisons,1.9739853301187138,612269849.0
2025,DMXF,Prisons,1.9077484052369809,804362959.91
2017,DSI,Prisons,8.366475900560083,822945453.0
2018,DSI,Prisons,10.290248220912291,1035422953.0
2019,DSI,Prisons,16.997787039955938,1640657277.0
2020,DSI,Prisons,19.341384121975604,1793823683.0
2021,DSI,Prisons,13.137014254578359,3109465386.0
2022,DSI,Prisons,21.021898558705775,3613714403.0
2023,DSI,Prisons,15.490836063598403,3536465235.0
