name_normalized,source_file
PRESS METAL ALUMINIUM HOLDINGS BHD,Controversial_and_Clean_Holdings.xlsx
PROCTER & GAMBLE CO,Controversial_and_Clean_Holdings.xlsx
PRYSMIAN SPA,Controversial_and_Clean_Holdings.xlsx
PT AMMAN MINERAL INTERNASIONAL TBK,Controversial_and_Clean_Holdings.xlsx
PT BANK MANDIRI (PERSERO) TBK,Controversial_and_Clean_Holdings.xlsx
PT BANK NEGARA INDONESIA (PERSERO) TBK REG SHS SERIES-B-,Controversial_and_Clean_Holdings.xlsx
PT BANK RAKYAT INDONESIA (PERSERO) TBK,Controversial_and_Clean_Holdings.xlsx
PT BANK RAKYAT INDONESIA (PERSERO) TBK REG SHS SERIES-B-,Controversial_and_Clean_Holdings.xlsx
PT BANK RAKYAT INDONESIA TBK,Controversial_and_Clean_Holdings.xlsx
PT TELKOM INDONESIA (PERSERO) TBK,Controversial_and_Clean_Holdings.xlsx
PT TELKOM INDONESIA (PERSERO) TBK REGISTERED SHS SERIES -B-,Controversial_and_Clean_Holdings.xlsx
PT TELKOM INDONESIA TBK,Controversial_and_Clean_Holdings.xlsx
PTT PCL DEPOSITORY RECEIPT,Controversial_and_Clean_Holdings.xlsx
PTT PCL UNITS NON-VOTING DEPOSITORY RECEIPT,Controversial_and_Clean_Holdings.xlsx
PUBLIC BANK BHD,Controversial_and_Clean_Holdings.xlsx
PUBLIC SERVICE ENTERPRISE GROUP INC,Controversial_and_Clean_Holdings.xlsx
QL RESOURCES BHD,Controversial_and_Clean_Holdings.xlsx
REGIONS FINANCIAL CORP (HIGH RISK),Controversial_and_Clean_Holdings.xlsx
RESTAURANT BRANDS INTERNATIONAL INC,Controversial_and_Clean_Holdings.xlsx
RICOH CO LTD,Controversial_and_Clean_Holdings.xlsx
RIO TINTO PLC ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
RISEN ENERGY CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
RIVIAN AUTOMOTIVE INC,Controversial_and_Clean_Holdings.xlsx
ROCKWOOL AS CLASS B,Controversial_and_Clean_Holdings.xlsx
ROSNEFT OIL CO,Controversial_and_Clean_Holdings.xlsx
SAAB AB CLASS B,Controversial_and_Clean_Holdings.xlsx
SAINSBURY (J) PLC,Controversial_and_Clean_Holdings.xlsx
SAINSBURY PLC,Controversial_and_Clean_Holdings.xlsx
SAMSUNG SDI CO LTD,Controversial_and_Clean_Holdings.xlsx
SAP SE,Controversial_and_Clean_Holdings.xlsx
SAUDI BASIC INDUSTRIES CORP,Controversial_and_Clean_Holdings.xlsx
SAUDI BASIC INDUSTRIES CORP (SABIC),Controversial_and_Clean_Holdings.xlsx
SCB X PCL NVDR,Controversial_and_Clean_Holdings.xlsx
SCHLUMBERGER LTD,Controversial_and_Clean_Holdings.xlsx
SCHNEIDER ELECTRIC SE,Controversial_and_Clean_Holdings.xlsx
SCIENCE APPLICATIONS INTERNATIONAL CORP,Controversial_and_Clean_Holdings.xlsx
SD GUTHRIE BHD,Controversial_and_Clean_Holdings.xlsx
SEKISUI CHEMICAL CO LTD,Controversial_and_Clean_Holdings.xlsx
SEVEN & I HOLDINGS CO LTD,Controversial_and_Clean_Holdings.xlsx
SHISEIDO CO LTD,Controversial_and_Clean_Holdings.xlsx
SIEMENS AG,Controversial_and_Clean_Holdings.xlsx
SIEMENS ENERGY AG,Controversial_and_Clean_Holdings.xlsx
SIEMENS ENERGY AG ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
SIEMENS HEALTHINEERS AG REGISTERED SHARES,Controversial_and_Clean_Holdings.xlsx
SIME DARBY BHD,Controversial_and_Clean_Holdings.xlsx
SK INNOVATION CO LTD,Controversial_and_Clean_Holdings.xlsx
SK TELECOM CO LTD,Controversial_and_Clean_Holdings.xlsx
SKANSKA AB CLASS B,Controversial_and_Clean_Holdings.xlsx
SLB,Controversial_and_Clean_Holdings.xlsx
SM ENERGY CO,Controversial_and_Clean_Holdings.xlsx
SNAM SPA,Controversial_and_Clean_Holdings.xlsx
SODEXO,Controversial_and_Clean_Holdings.xlsx
SONOCO PRODUCTS CO,Controversial_and_Clean_Holdings.xlsx
SOUTHERN CO,Controversial_and_Clean_Holdings.xlsx
SPIRIT AEROSYSTEMS HOLDINGS INC CLASS A,Controversial_and_Clean_Holdings.xlsx
STORA ENSO OYJ CLASS R,Controversial_and_Clean_Holdings.xlsx
SUMITOMO MITSUI FG,Controversial_and_Clean_Holdings.xlsx
SUMITOMO MITSUI FINANCIAL GROUP INC,Controversial_and_Clean_Holdings.xlsx
SUNGROW POWER SUPPLY CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
T-MOBILE US INC,Controversial_and_Clean_Holdings.xlsx
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Controversial_and_Clean_Holdings.xlsx
TAKEDA PHARMACEUTICAL CO LTD,Controversial_and_Clean_Holdings.xlsx
TALOS ENERGY INC ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
TELEFONAKTIEBOLAGET L M ERICSSON CLASS B,Controversial_and_Clean_Holdings.xlsx
THALES,Controversial_and_Clean_Holdings.xlsx
THE CAMPBELL'S CO,Controversial_and_Clean_Holdings.xlsx
THE CAMPBELL’S CO,Controversial_and_Clean_Holdings.xlsx
THE CARLYLE GROUP INC,Controversial_and_Clean_Holdings.xlsx
THE CARLYLE GROUP INC (HIGH RISK),Controversial_and_Clean_Holdings.xlsx
THE ESTEE LAUDER COMPANIES INC A,Controversial_and_Clean_Holdings.xlsx
THE ESTEE LAUDER COMPANIES INC CLASS A,Controversial_and_Clean_Holdings.xlsx
THE ESTEE LAUDER COS INC A,Controversial_and_Clean_Holdings.xlsx
THE HERSHEY CO,Controversial_and_Clean_Holdings.xlsx
THE HOME DEPOT INC,Controversial_and_Clean_Holdings.xlsx
THE KRAFT HEINZ CO,Controversial_and_Clean_Holdings.xlsx
THE KROGER CO,Controversial_and_Clean_Holdings.xlsx
THE SWATCH GROUP AG BEARER SHARES,Controversial_and_Clean_Holdings.xlsx
THE WALT DISNEY CO,Controversial_and_Clean_Holdings.xlsx
THE WENDY’S CO CLASS A,Controversial_and_Clean_Holdings.xlsx
THE WESTERN UNION CO,Controversial_and_Clean_Holdings.xlsx
TITAN CO LTD,Controversial_and_Clean_Holdings.xlsx
TJX COMPANIES INC,Controversial_and_Clean_Holdings.xlsx
TOKYO GAS CO LTD,Controversial_and_Clean_Holdings.xlsx
TOTALENERGIES SE,Controversial_and_Clean_Holdings.xlsx
TRANE TECHNOLOGIES PLC CLASS A,Controversial_and_Clean_Holdings.xlsx
ULTRAPAR PARTICIPACOES SA,Controversial_and_Clean_Holdings.xlsx
UNITED CO RUSAL INTERNATIONAL PJSC,Controversial_and_Clean_Holdings.xlsx
UOB,Controversial_and_Clean_Holdings.xlsx
UPM-KYMMENE OYJ,Controversial_and_Clean_Holdings.xlsx
VERBUND AG CLASS A,Controversial_and_Clean_Holdings.xlsx
VESTAS WIND SYSTEMS AS,Controversial_and_Clean_Holdings.xlsx
VIPER ENERGY INC ORDINARY SHARES - CLASS A,Controversial_and_Clean_Holdings.xlsx
VOLKSWAGEN AG PARTICIPATING PREFERRED,Controversial_and_Clean_Holdings.xlsx
WARTSILA CORP,Controversial_and_Clean_Holdings.xlsx
WEATHERFORD INTERNATIONAL PLC ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
WEATHERFORD INTERNATIONAL PLC ORDINARY SHARES - NEW,Controversial_and_Clean_Holdings.xlsx
WEST JAPAN RAILWAY CO,Controversial_and_Clean_Holdings.xlsx
WESTPAC BANKING CORP,Controversial_and_Clean_Holdings.xlsx
WH GROUP LTD SHS UNITARY 144A/REG S,Controversial_and_Clean_Holdings.xlsx
WILLIAMS COMPANIES INC,Controversial_and_Clean_Holdings.xlsx
WILLIAMS-SONOMA INC,Controversial_and_Clean_Holdings.xlsx
XPENG INC CLASS A,Controversial_and_Clean_Holdings.xlsx
YADEA GROUP HOLDINGS LTD SHS,Controversial_and_Clean_Holdings.xlsx
YADEA GROUP HOLDINGS LTD SHS UNITARY 144A/REGS,Controversial_and_Clean_Holdings.xlsx
YAKULT HONSHA CO LTD,Controversial_and_Clean_Holdings.xlsx
YAMAHA MOTOR CO LTD,Controversial_and_Clean_Holdings.xlsx
ZORLU ENERJI ELEKTRIK URETIM AS,Controversial_and_Clean_Holdings.xlsx
NATIONAL BANK OF CANADA,holdings_2025.csv
3 I GROUP PLC,soi_2017.csv
3 M CO.,soi_2017.csv
3M CO.,soi_2017.csv
"3SBIO INC. A,B",soi_2017.csv
58.COM INC. ADR,soi_2017.csv
58.COM INC. ADR A,soi_2017.csv
